Column1;dissimilarity_0;dissimilarity_45;dissimilarity_90;dissimilarity_135;correlation_0;correlation_45;correlation_90;correlation_135;homogeneity_0;homogeneity_45;homogeneity_90;homogeneity_135;contrast_0;contrast_45;contrast_90;contrast_135;ASM_0;ASM_45;ASM_90;ASM_135;energy_0;energy_45;energy_90;energy_135;label
0;1,01085E+16;1,04118E+14;1,00469E+16;1,03195E+16;7,53289E+15;7,31122E+15;7,47803E+15;7,3231E+15;1,28013E+16;1,1992E+15;1,21998E+16;1,25118E+15;2,49273E+16;2,60028E+16;2,4076E+16;2,59523E+16;5,86992E+15;5,67708E+15;5,67531E+15;5,65878E+14;2,42279E+16;2,38266E+15;2,38229E+15;2,37882E+16;basal
1;8,3847E+15;8,62207E+15;8,032E+15;8,46406E+15;6,52417E+15;6,38672E+15;6,4741E+14;5,90243E+15;1,237E+16;1,18967E+16;1,29364E+15;1,23019E+16;1,50169E+16;1,35818E+16;1,2782E+16;1,53564E+16;8,85905E+15;8,71349E+15;9,18653E+15;8,79518E+14;2,97641E+15;2,95186E+16;3,03093E+16;2,96567E+16;basal
2;9,45586E+15;1,04852E+15;8,33686E+15;9,1806E+15;6,84329E+14;6,31732E+15;7,79616E+15;6,97618E+14;1,31649E+16;1,24275E+16;1,52235E+15;1,44874E+16;2,23764E+16;2,56443E+16;1,5243E+16;2,1028E+15;8,86466E+15;8,32679E+15;9,68898E+14;9,13753E+15;2,97736E+15;2,88562E+15;3,11271E+16;3,02283E+15;basal
3;6,96196E+15;7,65258E+15;7,02886E+15;7,78859E+15;6,77202E+14;6,24229E+15;6,73718E+15;6,12062E+15;1,85378E+16;1,65689E+16;1,8624E+15;1,63177E+16;1,19449E+16;1,39008E+16;1,21567E+15;1,43976E+16;1,41124E+15;1,30076E+16;1,44068E+16;1,30768E+16;3,75665E+15;3,6066E+16;3,79563E+16;3,61619E+15;basal
4;1,07385E+15;1,1544E+16;1,09927E+16;1,12833E+16;6,71124E+15;6,37466E+15;6,32892E+15;6,14979E+15;1,2545E+16;1,18534E+16;1,25205E+16;1,32157E+16;2,79969E+15;3,16124E+15;3,15921E+16;3,35818E+15;9,75128E+15;8,68465E+15;9,5848E+15;9,95999E+14;3,1227E+15;2,94697E+16;3,09593E+16;3,15595E+15;basal
5;8,5767E+14;8,73489E+15;7,95714E+15;8,60211E+15;7,52209E+15;7,46321E+14;7,8411E+15;7,51907E+15;1,2839E+16;1,26361E+15;1,32871E+15;1,28341E+16;1,44647E+16;1,48317E+16;1,25321E+16;1,45442E+16;7,04512E+15;7,33536E+15;7,62071E+15;7,02432E+15;2,65426E+16;2,70839E+16;2,76056E+16;2,65034E+16;basal
6;9,11284E+15;8,80986E+13;8,97171E+15;1,01904E+16;7,2489E+14;7,41546E+15;7,33829E+15;6,62067E+14;1,1996E+16;1,16674E+15;1,22278E+16;1,11408E+16;1,55879E+16;1,45016E+15;1,48823E+16;1,89739E+16;7,06561E+15;7,23473E+15;7,24153E+15;6,47587E+15;2,65812E+15;2,68975E+16;2,69101E+16;2,54477E+16;basal
7;5,38891E+16;5,53947E+15;5,54743E+16;6,0939E+14;8,6514E+15;8,5754E+15;8,60406E+15;8,34148E+15;1,84913E+16;1,75582E+16;1,69831E+16;1,57314E+16;5,3664E+14;5,6501E+15;5,49137E+16;6,59193E+15;1,15703E+16;1,14207E+15;1,14516E+16;1,07159E+16;3,40152E+15;3,37945E+15;3,38403E+16;3,27352E+15;basal
8;7,93039E+16;8,49853E+15;7,72314E+16;8,01995E+15;5,73482E+15;4,68432E+16;5,55085E+15;5,3023E+15;1,52381E+15;1,48724E+15;1,58065E+16;1,49658E+16;1,35037E+16;1,5103E+16;1,25192E+16;1,36301E+16;1,21674E+15;1,20077E+16;1,2941E+16;1,24772E+16;3,48818E+15;3,46521E+15;3,59736E+15;3,53231E+15;basal
9;5,15775E+15;5,47315E+15;5,19143E+15;5,49853E+15;8,05742E+15;7,92408E+15;8,26405E+15;7,88651E+15;2,37874E+15;2,10776E+16;2,19747E+16;2,25702E+16;6,28888E+16;6,81929E+15;5,98834E+15;7,04161E+15;2,2909E+16;1,97784E+16;2,02602E+16;2,15065E+15;4,78634E+16;4,44729E+14;4,50113E+16;4,63751E+15;basal
10;7,1673E+15;7,83788E+15;6,57214E+15;6,99868E+15;7,29655E+14;6,70634E+15;7,56975E+14;7,24822E+13;1,42149E+16;1,36631E+16;1,53199E+15;1,44554E+16;9,20378E+15;1,10277E+16;8,19216E+15;9,12416E+14;8,78124E+15;8,22186E+15;9,67398E+15;9,33265E+15;2,96332E+16;2,86738E+16;3,1103E+15;3,05494E+16;basal
11;8,68589E+14;8,33627E+15;7,62657E+15;9,05795E+15;8,83539E+15;8,89746E+15;9,12456E+14;8,71842E+15;1,16952E+16;1,23895E+16;1,33291E+16;1,17844E+16;1,32112E+15;1,26181E+16;1,02863E+16;1,46711E+16;4,219E+16;4,59513E+15;4,8102E+14;4,19466E+15;2,05402E+16;2,14363E+15;2,19322E+15;2,04809E+16;basal
12;9,31621E+15;1,01535E+16;9,40643E+15;9,90067E+15;8,00392E+15;7,61733E+15;7,93266E+15;7,64862E+14;1,22444E+16;1,0349E+16;1,08897E+16;1,07585E+16;1,59283E+16;1,76429E+16;1,51957E+16;1,74073E+16;5,68002E+15;5,48153E+15;5,97755E+15;5,81549E+15;2,38328E+15;2,34127E+15;2,4449E+15;2,41153E+16;basal
13;9,51312E+15;1,0093E+15;9,20043E+15;9,9243E+15;7,54618E+15;7,26045E+15;7,72461E+15;7,42665E+14;1,1674E+15;1,14322E+16;1,32549E+14;1,11539E+16;1,85162E+16;2,07939E+16;1,77591E+16;1,96542E+16;6,5437E+15;5,9413E+14;6,44265E+15;6,22962E+15;2,55807E+15;2,43748E+14;2,53824E+15;2,49592E+15;basal
14;7,37263E+15;7,85622E+15;7,40957E+15;7,74428E+15;8,34036E+15;8,0768E+15;8,13458E+15;8,08104E+15;1,36239E+16;1,20935E+16;1,40985E+16;1,29555E+16;9,81039E+15;1,12584E+16;1,09222E+16;1,12274E+16;6,82204E+15;6,63311E+15;7,04786E+15;6,67863E+15;2,6119E+16;2,57548E+15;2,65478E+15;2,58431E+16;basal
